revenue_year,cat_rev_year,price,year,mes,positive_year,negative_year,followers_year,reviews_year,score,adventure,singleplayer,story_rich,horror,3d,survival,choices_matter,historical,mystery,replay_value,early_access,female_protagonist,lovecraftian,open_world,multiplayer,co_op,indie,atmospheric,violent,online_co_op,third_person,sandbox,soundtrack,strategy,difficult,gore,great_soundtrack,first_person,simulation,rpg,character_customization,funny,casual,sci_fi,exploration,action,sexual_content,realistic,nudity,fantasy,anime,building,turn_based,tactical,management,psychological,visual_novel,psychological_horror,moddable,crafting,positive_n,followers_n
14996839.44,3. Más de 5M y menos de 20M,19.99,2012,10,50683,1261,75297,39081,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,3
8223807.736,3. Más de 5M y menos de 20M,9.99,2006,11,47702,1703,0,41656,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,1
11892478.96,3. Más de 5M y menos de 20M,9.99,2011,5,75682,1613,57721,60845,10,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,3
17143467.12,3. Más de 5M y menos de 20M,29.99,2015,1,0,0,93729,29595,10,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
16854797.33,3. Más de 5M y menos de 20M,14.99,2016,2,68739,1456,108278,58649,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,3
10833922.26,3. Más de 5M y menos de 20M,29.99,2013,9,23218,2478,0,18934,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3,1
15591456.74,3. Más de 5M y menos de 20M,39.99,2016,6,25458,2285,54071,20253,9,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3
19729729.73,3. Más de 5M y menos de 20M,59.99,2017,9,24752,1727,100914,17163,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3,3
19641255.61,3. Más de 5M y menos de 20M,59.99,2017,10,0,0,84749,16972,9,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
11346322.24,3. Más de 5M y menos de 20M,29.99,2015,3,24819,1848,92104,19703,9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,3,3
