,nse_category,nse_score
1,A/B,266
2,A/B,221
4,C,167
6,D+,115
8,A/B,274
9,A/B,224
10,C+,201
11,C,150
12,C-,138
13,C,141
15,A/B,274
18,A/B,252
19,A/B,214
20,C,167
22,C+,198
23,A/B,292
24,C+,183
25,A/B,206
27,C+,197
28,C,152
29,A/B,251
31,C,152
32,A/B,292
33,A/B,206
34,A/B,213
35,C+,185
39,A/B,236
41,A/B,229
43,C-,139
46,A/B,251
50,D,52
52,C+,197
55,C,152
60,C,150
62,A/B,254
66,A/B,254
68,A/B,254
70,A/B,262
72,A/B,278
76,A/B,246
79,A/B,220
80,A/B,246
84,A/B,262
85,A/B,255
90,C-,135
91,A/B,206
100,D,94
104,C,144
105,A/B,266
107,C+,178
109,C,158
113,C-,126
114,C,146
117,C+,187
120,A/B,205
126,D+,114
127,C,154
131,A/B,227
132,C,158
137,C,162
139,A/B,206
142,D+,99
